rm:::::::::::::
ARCHIBUS Data Transfer:::::::::::::
:::::::::::::
AllowInsertions:AllowUpdates:AllowSQLStatements:Restriction:Sort:::::::::
1:1:1:((rm.bl_id='TO_CEN03' ) AND( rm.fl_id='XPTE'  OR  rm.fl_id='XP01')):rm.bl_id:::::::::
:::::::::::::
:::::::::::::
bl_id:fl_id:rm_id:lat:lon:name:area:altezza_locale:length:rm_cat:rm_type:rm_std:dv_id:dp_id
Fabbricato:Piano:Codice Locale:Latitudine:Longitudine:Nome locale:Area Locale:Altezza netta locale (in cm):Perimetro:Categoria  locale:Tipo di locale:Standard  locale:Tipo Struttura:Struttura
TO_CEN03:XP01:A001::::32,52::24,1:VERT:SCALA::ATU.:AMM
TO_CEN03:XP01:A002:45,0628790000000000:7,6609320000000100:Locale Test Impianti Speciali:23,28:330:19,5:UFF:UFF_TEC_AM::ARE.:EDILOG
TO_CEN03:XP01:A003:0,0000000000000000:0,0000000000000000:Ufficio Impianti Speciali:23,41:325:19,6:UFF:UFF_TEC_AM::ARE.:EDILOG
TO_CEN03:XP01:A004:0,0000000000000000:0,0000000000000000:Ufficio Impianti Speciali:25,23:330:20,4:UFF:UFF_TEC_AM::ARE.:EDILOG
TO_CEN03:XP01:A005:0,0000000000000000:0,0000000000000000:Ufficio Impianti Speciali:17,77:330:24,3:UFF:UFF_PE_EST::ARE.:EDILOG
TO_CEN03:XP01:A006::::10,29:325:13,5:UFF:UFF_TEC_AM::ARE.:EDILOG
TO_CEN03:XP01:A007::::5,72:330:11,9:SERV:WC_M::ARE.:EDILOG
TO_CEN03:XP01:A008::::41,50:325:28,5:VERT:SCALA::ATU.:AMM
TO_CEN03:XP01:B000::::44,14::38,6:SERV:CORRID::DIP.:DISAT
TO_CEN03:XP01:B001:0,0000000000000000:0,0000000000000000::0,75::4,0:SERV:LOC_TECN::DIP.:DISAT
TO_CEN03:XP01:B002::::13,01::15,6:UFF:UFF_DOC::DIP.:DISAT
